name,position,country,pep_category
Arvind Sharma,Union Minister of State,India,Domestic PEP
Rajeshwari Nair,Member of Parliament,India,Domestic PEP
Sunita Reddy,State Chief Minister,India,Domestic PEP
Rahul Bose,Municipal Commissioner,India,Domestic PEP
Devendra Kulkarni,State Finance Secretary,India,Domestic PEP
Ayesha Khanum,Judge - High Court,India,Domestic PEP
Manpreet Bajwa,Director General of Police,India,Domestic PEP
Thomas Mathew,Public Sector Bank Chairman,India,Domestic PEP
Elena Petrova,Deputy Minister of Finance,Russia,Foreign PEP
Zhou Wei,Provincial Governor,China,Foreign PEP
Carlos Medina,Senator,Brazil,Foreign PEP
Fatima Al-Sayed,Central Bank Governor,United Arab Emirates,Foreign PEP
Michael Osei,Ambassador,Ghana,Foreign PEP
Grace Mwangi,Cabinet Secretary,Kenya,Foreign PEP
Johan Van Dijk,Deputy Prime Minister,Netherlands,Foreign PEP
Amara Chukwu,State Governor,Nigeria,Foreign PEP
Nadia Rahman,Minister of Commerce,Bangladesh,Foreign PEP
Priya Suresh Menon,Spouse of Union Minister,India,Domestic PEP (Family Member)
Karan Vohra,Business Partner of MLA,India,Domestic PEP (Close Associate)
Igor Volkov,Sanctioned Oligarch's Advisor,Russia,Foreign PEP (Close Associate)
